/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.GamesBit.net
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 003 - Harold the Wandering Merchant
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Info
/////////////////////////////////////////////////////////////////////////////
//
7	5	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Leather Helm
7	6	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Scale Helm
7	8	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Brass Helm
7	59	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Sacred Fire Helm
8	5	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Leather Armor
8	6	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Scale Armor
8	8	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Brass Armor
8	59	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Sacred Fire Armor
9	6	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Scale Pants
9	8	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Brass Pants
9	5	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Leather Pants
9	59	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Sacred Fire Pants
10	6	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Scale Gloves
10	8	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Brass Gloves
10	5	4	0	0	0	0	34		0	0	0	255	255	255	255	255	//Leather Gloves
end
